epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,82.6749,0.41088,1.11086,0.55891,0.36803,0.86408,0.99809,1,0.995,0.93522,0.99809,1,0.995,0.97883,0.35389,0.18768,0.27434,0.42378,0.76989,0.0009109,0.0009109,0.0009109
29,85.2248,0.41318,0.97318,0.54949,0.35005,0.85718,0.99831,1,0.995,0.93619,0.99831,1,0.995,0.98224,0.34613,0.17667,0.27332,0.33432,0.76651,0.0009076,0.0009076,0.0009076
30,87.7325,0.38995,0.89541,0.60581,0.32633,0.85594,0.99851,1,0.995,0.93942,0.99851,1,0.995,0.97713,0.33398,0.18461,0.27241,0.30143,0.76114,0.0009043,0.0009043,0.0009043
31,90.3231,0.42336,0.86857,0.566,0.35146,0.87659,0.99886,1,0.995,0.91933,0.99886,1,0.995,0.96256,0.37462,0.19109,0.26904,0.25605,0.77014,0.000901,0.000901,0.000901
32,92.8449,0.40773,0.82504,0.52299,0.33304,0.8634,0.99891,1,0.995,0.93067,0.99891,1,0.995,0.974,0.3582,0.15932,0.26686,0.25346,0.76495,0.0008977,0.0008977,0.0008977
33,95.3913,0.39288,0.8593,0.53936,0.32027,0.85313,0.99896,1,0.995,0.94918,0.99896,1,0.995,0.97969,0.31696,0.16915,0.26984,0.25195,0.76191,0.0008944,0.0008944,0.0008944
34,97.7648,0.43363,0.85924,0.54335,0.3781,0.87914,0.99896,1,0.995,0.95096,0.99896,1,0.995,0.97714,0.33216,0.20047,0.26909,0.27151,0.76491,0.0008911,0.0008911,0.0008911
35,100.234,0.39841,0.73984,0.52679,0.33241,0.85429,0.99893,1,0.995,0.94656,0.99893,1,0.995,0.97132,0.30691,0.14361,0.26637,0.25,0.76169,0.0008878,0.0008878,0.0008878
36,102.773,0.39672,0.82325,0.55999,0.33634,0.85784,0.99884,1,0.995,0.95207,0.99884,1,0.995,0.98102,0.34406,0.17947,0.26524,0.24556,0.76666,0.0008845,0.0008845,0.0008845
37,105.273,0.41869,0.77718,0.51945,0.3431,0.86289,0.99892,1,0.995,0.95043,0.99892,1,0.995,0.97981,0.31517,0.1561,0.26447,0.23391,0.76346,0.0008812,0.0008812,0.0008812
38,107.748,0.40954,0.82503,0.54751,0.33428,0.85993,0.99885,1,0.995,0.93779,0.99885,1,0.995,0.97694,0.31923,0.1412,0.26772,0.23489,0.76071,0.0008779,0.0008779,0.0008779
39,110.282,0.38692,0.77044,0.4982,0.3177,0.84707,0.99861,1,0.995,0.9416,0.99861,1,0.995,0.97148,0.34604,0.19121,0.2684,0.24768,0.76668,0.0008746,0.0008746,0.0008746
40,112.664,0.40033,0.80858,0.53613,0.32338,0.85428,0.99868,1,0.995,0.94823,0.99868,1,0.995,0.97599,0.31876,0.15629,0.26237,0.25109,0.76798,0.0008713,0.0008713,0.0008713
41,114.931,0.40527,0.71579,0.56383,0.34081,0.85504,0.99892,1,0.995,0.9188,0.99892,1,0.995,0.97928,0.40919,0.14659,0.25875,0.30117,0.7919,0.000868,0.000868,0.000868
42,117.063,0.38727,0.59939,0.54951,0.32313,0.85157,0.99902,1,0.995,0.93668,0.99902,1,0.995,0.98154,0.35682,0.1457,0.25933,0.25832,0.77673,0.0008647,0.0008647,0.0008647
43,119.235,0.38075,0.74684,0.5352,0.32004,0.86425,0.99898,1,0.995,0.93693,0.99898,1,0.995,0.97961,0.33583,0.14277,0.26433,0.25092,0.7708,0.0008614,0.0008614,0.0008614
44,121.495,0.36988,0.65123,0.49988,0.30416,0.84539,0.99886,1,0.995,0.95817,0.99886,1,0.995,0.983,0.32008,0.11857,0.26786,0.25041,0.76714,0.0008581,0.0008581,0.0008581
45,124.08,0.36641,0.66117,0.51908,0.31028,0.84376,0.99891,1,0.995,0.96022,0.99891,1,0.995,0.98483,0.30868,0.12027,0.26831,0.25193,0.76561,0.0008548,0.0008548,0.0008548
46,126.669,0.3711,0.75149,0.55225,0.30661,0.86829,0.99893,1,0.995,0.95818,0.99893,1,0.995,0.98755,0.33052,0.11402,0.26766,0.25324,0.76627,0.0008515,0.0008515,0.0008515
47,129.321,0.38248,0.65916,0.52146,0.30521,0.86197,0.999,1,0.995,0.95888,0.999,1,0.995,0.98336,0.33445,0.11306,0.26459,0.24724,0.77518,0.0008482,0.0008482,0.0008482
48,131.796,0.36979,0.66618,0.53213,0.3057,0.8587,0.99889,1,0.995,0.9547,0.99889,1,0.995,0.98137,0.33521,0.12896,0.26515,0.25314,0.77936,0.0008449,0.0008449,0.0008449
49,134.229,0.36387,0.63687,0.50023,0.31707,0.85018,0.99874,1,0.995,0.94831,0.99874,1,0.995,0.98466,0.33296,0.1101,0.26663,0.24601,0.77782,0.0008416,0.0008416,0.0008416
50,136.695,0.37813,0.63963,0.52541,0.30131,0.8531,0.99876,1,0.995,0.94292,0.99876,1,0.995,0.98557,0.35881,0.1135,0.26748,0.2386,0.78144,0.0008383,0.0008383,0.0008383
51,139.169,0.37797,0.96436,0.54825,0.31269,0.84912,0.99888,1,0.995,0.94505,0.99888,1,0.995,0.98561,0.3466,0.11141,0.26686,0.23862,0.77969,0.000835,0.000835,0.000835
52,141.681,0.40065,0.54462,0.52903,0.32468,0.86702,0.99886,1,0.995,0.9489,0.99886,1,0.995,0.98591,0.33701,0.10494,0.26823,0.24274,0.77444,0.0008317,0.0008317,0.0008317
53,144.011,0.37818,0.57958,0.52456,0.30428,0.84637,0.99842,1,0.995,0.94684,0.99842,1,0.995,0.98678,0.33665,0.10759,0.27082,0.2375,0.76893,0.0008284,0.0008284,0.0008284
54,146.315,0.37169,0.72433,0.50383,0.3016,0.85628,0.99718,1,0.995,0.93916,0.99718,1,0.995,0.98366,0.32205,0.11194,0.27112,0.23256,0.76891,0.0008251,0.0008251,0.0008251
55,148.573,0.3776,0.68695,0.51041,0.30916,0.85706,0.99872,1,0.995,0.9564,0.99872,1,0.995,0.97663,0.3168,0.13793,0.27747,0.22488,0.7667,0.0008218,0.0008218,0.0008218
56,150.981,0.36665,0.57075,0.49492,0.30652,0.843,0.99873,1,0.995,0.94798,0.99873,1,0.995,0.98024,0.32488,0.16801,0.28227,0.22128,0.76647,0.0008185,0.0008185,0.0008185
57,153.397,0.35712,0.64711,0.51035,0.28777,0.85296,0.99874,1,0.995,0.94914,0.99874,1,0.995,0.981,0.30661,0.11907,0.27822,0.23445,0.7672,0.0008152,0.0008152,0.0008152
58,155.604,0.36351,0.71244,0.50183,0.29141,0.85121,0.99851,1,0.995,0.95974,0.99851,1,0.995,0.98237,0.3001,0.12395,0.27665,0.25122,0.76485,0.0008119,0.0008119,0.0008119
59,157.972,0.38225,0.64931,0.49996,0.29981,0.86049,0.99827,1,0.995,0.95585,0.99827,1,0.995,0.98322,0.3232,0.15014,0.27725,0.27546,0.76778,0.0008086,0.0008086,0.0008086
60,160.527,0.37396,0.60924,0.54436,0.33476,0.85933,0.99867,1,0.995,0.94013,0.99867,1,0.995,0.98363,0.34664,0.12392,0.28014,0.2547,0.77473,0.0008053,0.0008053,0.0008053
61,162.914,0.38785,0.72161,0.52908,0.30961,0.85397,0.99888,1,0.995,0.92932,0.99888,1,0.995,0.98496,0.38138,0.17283,0.28335,0.25045,0.78257,0.000802,0.000802,0.000802
62,165.339,0.37637,0.64418,0.53127,0.30791,0.86197,0.99891,1,0.995,0.95612,0.99891,1,0.995,0.98702,0.32464,0.13723,0.27775,0.24043,0.76764,0.0007987,0.0007987,0.0007987
63,167.987,0.35569,0.61197,0.49301,0.29805,0.84687,0.99893,1,0.995,0.96667,0.99893,1,0.995,0.98979,0.31143,0.10441,0.27626,0.22111,0.76698,0.0007954,0.0007954,0.0007954
64,170.49,0.369,0.62343,0.52253,0.29091,0.85447,0.99902,1,0.995,0.9668,0.99902,1,0.995,0.98885,0.2939,0.11706,0.27674,0.21462,0.76179,0.0007921,0.0007921,0.0007921
65,172.709,0.36104,0.53476,0.47625,0.2875,0.8471,0.99888,1,0.995,0.95738,0.99888,1,0.995,0.98481,0.29625,0.11632,0.28011,0.22932,0.76269,0.0007888,0.0007888,0.0007888
66,174.947,0.35498,0.53297,0.49339,0.28395,0.85364,0.9986,1,0.995,0.96332,0.9986,1,0.995,0.98786,0.29654,0.11102,0.28294,0.23521,0.76611,0.0007855,0.0007855,0.0007855
67,177.378,0.35785,0.62066,0.49539,0.28864,0.86563,0.99867,1,0.995,0.96063,0.99867,1,0.995,0.9877,0.28149,0.10748,0.28598,0.22822,0.76214,0.0007822,0.0007822,0.0007822
68,179.844,0.37744,0.61769,0.47653,0.30266,0.83601,0.99844,1,0.995,0.95912,0.99844,1,0.995,0.98682,0.31319,0.0996,0.28352,0.24385,0.76108,0.0007789,0.0007789,0.0007789
69,182.312,0.36345,0.45703,0.48478,0.29318,0.85245,0.99879,1,0.995,0.95604,0.99879,1,0.995,0.9874,0.30082,0.11787,0.27506,0.22164,0.76334,0.0007756,0.0007756,0.0007756
70,184.842,0.33735,0.4956,0.45704,0.26998,0.83711,0.9989,1,0.995,0.95409,0.9989,1,0.995,0.98536,0.3015,0.12452,0.26996,0.23931,0.76495,0.0007723,0.0007723,0.0007723
71,187.426,0.38829,0.68932,0.46765,0.30903,0.86347,0.99895,1,0.995,0.94356,0.99895,1,0.995,0.98536,0.31265,0.13041,0.27426,0.21618,0.76605,0.000769,0.000769,0.000769
72,189.981,0.3765,0.54484,0.48682,0.28359,0.84888,0.99901,1,0.995,0.94958,0.99901,1,0.995,0.98357,0.3311,0.11783,0.27382,0.22835,0.77032,0.0007657,0.0007657,0.0007657
73,192.603,0.37019,0.55366,0.47372,0.29376,0.84352,0.99896,1,0.995,0.96096,0.99896,1,0.995,0.98189,0.30014,0.15832,0.26799,0.23171,0.76629,0.0007624,0.0007624,0.0007624
74,195.109,0.34282,0.44559,0.46549,0.27429,0.84638,0.9989,1,0.995,0.95968,0.9989,1,0.995,0.987,0.32269,0.11829,0.26785,0.22726,0.76901,0.0007591,0.0007591,0.0007591
