epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,274.061,1.17147,0.95953,1.29755,0.82517,0.61974,0.72771,0.43671,1.25821,0.85142,1.36969,0.0008647,0.0008647,0.0008647
43,280.541,1.20948,0.99069,1.31092,0.77737,0.63553,0.71734,0.43065,1.28114,0.85911,1.38794,0.0008614,0.0008614,0.0008614
44,286.949,1.18797,0.99687,1.29466,0.80598,0.58553,0.70061,0.41525,1.29888,0.91402,1.36234,0.0008581,0.0008581,0.0008581
45,293.332,1.19204,0.98331,1.29807,0.78997,0.62357,0.715,0.43334,1.26463,0.88357,1.37575,0.0008548,0.0008548,0.0008548
46,299.751,1.16539,0.93678,1.28003,0.76973,0.63947,0.71671,0.43517,1.2682,0.86248,1.35971,0.0008515,0.0008515,0.0008515
47,306.149,1.18433,0.95015,1.28214,0.73486,0.62725,0.70429,0.43109,1.27774,0.89192,1.36052,0.0008482,0.0008482,0.0008482
48,312.522,1.19989,0.97801,1.29735,0.76897,0.63421,0.7068,0.43913,1.24083,0.88566,1.34048,0.0008449,0.0008449,0.0008449
49,318.927,1.17532,0.96506,1.29193,0.76449,0.63214,0.71092,0.43045,1.28826,0.8802,1.36635,0.0008416,0.0008416,0.0008416
50,325.333,1.18815,0.94874,1.28671,0.79937,0.56842,0.6722,0.41151,1.31804,0.93088,1.42753,0.0008383,0.0008383,0.0008383
51,331.735,1.17745,0.94941,1.28671,0.80393,0.61503,0.70911,0.42914,1.25802,0.88716,1.35074,0.000835,0.000835,0.000835
52,338.084,1.20594,0.97991,1.30689,0.77469,0.63816,0.71942,0.43518,1.27497,0.86068,1.37351,0.0008317,0.0008317,0.0008317
53,344.453,1.17092,0.92776,1.26812,0.76608,0.64737,0.71719,0.44152,1.26062,0.85233,1.35531,0.0008284,0.0008284,0.0008284
54,350.844,1.12835,0.89392,1.25501,0.79825,0.62237,0.71418,0.45033,1.23088,0.83082,1.32927,0.0008251,0.0008251,0.0008251
55,357.295,1.14476,0.89582,1.26958,0.78833,0.55263,0.64646,0.40767,1.26769,0.91396,1.35944,0.0008218,0.0008218,0.0008218
56,363.666,1.15051,0.91683,1.2765,0.77302,0.57368,0.68165,0.42106,1.24327,0.87828,1.34299,0.0008185,0.0008185,0.0008185
57,370.029,1.16776,0.92912,1.2905,0.78498,0.60658,0.68353,0.41796,1.25995,0.85614,1.3568,0.0008152,0.0008152,0.0008152
58,376.388,1.15117,0.92534,1.27409,0.77606,0.5791,0.69881,0.42921,1.24947,0.88997,1.34962,0.0008119,0.0008119,0.0008119
59,382.778,1.14116,0.88156,1.25496,0.79435,0.62763,0.71533,0.4359,1.24035,0.86835,1.35177,0.0008086,0.0008086,0.0008086
60,389.2,1.14888,0.91034,1.26829,0.76461,0.60132,0.70499,0.41901,1.31531,0.8986,1.39742,0.0008053,0.0008053,0.0008053
61,395.557,1.10915,0.88593,1.24951,0.82661,0.59079,0.71353,0.43966,1.22942,0.82083,1.34576,0.000802,0.000802,0.000802
62,401.913,1.1421,0.89034,1.2615,0.784,0.63158,0.7076,0.43664,1.24153,0.828,1.352,0.0007987,0.0007987,0.0007987
63,408.301,1.12991,0.87887,1.26799,0.77855,0.62913,0.70685,0.44558,1.20838,0.80354,1.31962,0.0007954,0.0007954,0.0007954
64,414.706,1.13304,0.8798,1.26348,0.82386,0.60658,0.71655,0.43534,1.2703,0.81096,1.34707,0.0007921,0.0007921,0.0007921
65,421.111,1.14228,0.87847,1.26538,0.82269,0.62632,0.72055,0.43429,1.25211,0.86002,1.36108,0.0007888,0.0007888,0.0007888
66,427.479,1.10988,0.86578,1.24027,0.79473,0.64211,0.73374,0.44804,1.23773,0.78775,1.35237,0.0007855,0.0007855,0.0007855
67,433.856,1.12558,0.87258,1.25554,0.8118,0.60789,0.69615,0.42955,1.27605,0.78819,1.39787,0.0007822,0.0007822,0.0007822
68,440.284,1.11102,0.86733,1.24039,0.83147,0.64269,0.73709,0.45347,1.22669,0.7894,1.33848,0.0007789,0.0007789,0.0007789
69,446.775,1.1101,0.88615,1.25102,0.78923,0.64342,0.72742,0.43949,1.26865,0.82788,1.34772,0.0007756,0.0007756,0.0007756
70,453.168,1.10966,0.87234,1.23063,0.79194,0.64079,0.74252,0.45547,1.22378,0.80484,1.33645,0.0007723,0.0007723,0.0007723
71,459.543,1.11683,0.86465,1.2449,0.77148,0.66184,0.72538,0.4479,1.20968,0.80507,1.34586,0.000769,0.000769,0.000769
72,465.924,1.08332,0.8369,1.22336,0.80179,0.62808,0.73263,0.45441,1.23276,0.77316,1.33945,0.0007657,0.0007657,0.0007657
73,472.286,1.08339,0.82077,1.226,0.82467,0.625,0.73151,0.45363,1.21094,0.82124,1.3205,0.0007624,0.0007624,0.0007624
74,478.693,1.08941,0.85443,1.23033,0.80206,0.63816,0.74334,0.45663,1.23116,0.76228,1.33611,0.0007591,0.0007591,0.0007591
75,485.085,1.08307,0.84014,1.21896,0.83919,0.61111,0.72913,0.45084,1.2231,0.80445,1.33953,0.0007558,0.0007558,0.0007558
76,491.455,1.1067,0.8359,1.2508,0.82629,0.62763,0.74226,0.4618,1.23216,0.78007,1.34777,0.0007525,0.0007525,0.0007525
77,497.87,1.06489,0.81708,1.2153,0.83578,0.60132,0.70661,0.43147,1.24626,0.79262,1.36011,0.0007492,0.0007492,0.0007492
78,504.282,1.09014,0.82909,1.24159,0.79788,0.66711,0.74745,0.4462,1.22996,0.79711,1.33742,0.0007459,0.0007459,0.0007459
79,510.697,1.08686,0.8321,1.23326,0.80853,0.63898,0.73921,0.46219,1.20852,0.74988,1.32873,0.0007426,0.0007426,0.0007426
80,517.089,1.08204,0.83603,1.22498,0.8152,0.67911,0.77171,0.46951,1.20535,0.74613,1.3164,0.0007393,0.0007393,0.0007393
81,523.462,1.06835,0.81921,1.22774,0.81222,0.62763,0.73329,0.45531,1.22173,0.76757,1.34105,0.000736,0.000736,0.000736
82,529.828,1.09346,0.83524,1.23593,0.88161,0.61053,0.75618,0.47162,1.2004,0.75542,1.34502,0.0007327,0.0007327,0.0007327
83,536.243,1.06429,0.81138,1.23012,0.84438,0.64605,0.75429,0.46619,1.21061,0.77135,1.34124,0.0007294,0.0007294,0.0007294
84,542.606,1.06135,0.80167,1.21033,0.84066,0.65256,0.76554,0.46912,1.22097,0.74379,1.3496,0.0007261,0.0007261,0.0007261
85,549.004,1.0565,0.81687,1.20636,0.73692,0.66711,0.72127,0.45272,1.19173,0.79692,1.32125,0.0007228,0.0007228,0.0007228
86,555.375,1.05902,0.79941,1.20566,0.79104,0.65789,0.74226,0.46546,1.19678,0.75415,1.32929,0.0007195,0.0007195,0.0007195
87,561.811,1.04644,0.79383,1.21025,0.80834,0.67763,0.7571,0.46319,1.2199,0.73411,1.34183,0.0007162,0.0007162,0.0007162
88,568.253,1.05421,0.79884,1.21243,0.77667,0.68026,0.75231,0.4656,1.20888,0.75925,1.32752,0.0007129,0.0007129,0.0007129
89,574.692,1.07023,0.80836,1.22616,0.78786,0.68158,0.7515,0.45791,1.23805,0.73946,1.36879,0.0007096,0.0007096,0.0007096
90,581.097,1.06012,0.77087,1.20536,0.80439,0.60601,0.72754,0.45089,1.21422,0.79541,1.32458,0.0007063,0.0007063,0.0007063
91,587.524,1.04256,0.7956,1.20739,0.80116,0.67328,0.75244,0.45398,1.24901,0.76167,1.36951,0.000703,0.000703,0.000703
92,593.94,1.06821,0.78818,1.21487,0.77447,0.6642,0.75103,0.47157,1.21332,0.78096,1.34064,0.0006997,0.0006997,0.0006997
93,600.388,1.04559,0.78441,1.20627,0.81865,0.68026,0.76607,0.48046,1.19055,0.72212,1.32508,0.0006964,0.0006964,0.0006964
94,606.759,1.03855,0.78368,1.19867,0.8651,0.62632,0.75604,0.46309,1.22676,0.71821,1.33511,0.0006931,0.0006931,0.0006931
95,613.146,1.02998,0.7539,1.18397,0.81798,0.67237,0.77164,0.47115,1.19923,0.71337,1.30757,0.0006898,0.0006898,0.0006898
96,619.518,1.02754,0.76158,1.18764,0.84345,0.66579,0.77364,0.48285,1.17079,0.72701,1.299,0.0006865,0.0006865,0.0006865
97,625.896,1.03016,0.77387,1.1918,0.81889,0.65921,0.74635,0.46575,1.17334,0.73561,1.30826,0.0006832,0.0006832,0.0006832
98,632.283,1.03493,0.78282,1.19221,0.82749,0.66272,0.753,0.47243,1.1735,0.73145,1.28696,0.0006799,0.0006799,0.0006799
