epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,119.268,0.39617,0.34048,1.59279,1,0.99993,0.995,0.97389,0.31022,0.28122,1.56632,0.0008614,0.0008614,0.0008614
44,121.619,0.42354,0.35115,1.50641,0.99965,1,0.995,0.96222,0.36052,0.29279,1.59912,0.0008581,0.0008581,0.0008581
45,123.75,0.4017,0.33715,1.49447,0.99918,1,0.995,0.97354,0.33293,0.28231,1.54443,0.0008548,0.0008548,0.0008548
46,125.943,0.40628,0.34198,1.52623,0.99941,1,0.995,0.9723,0.3203,0.26062,1.50458,0.0008515,0.0008515,0.0008515
47,128.45,0.38241,0.32581,1.50546,0.99968,1,0.995,0.96703,0.31872,0.24929,1.55088,0.0008482,0.0008482,0.0008482
48,130.858,0.41545,0.32854,1.59681,0.9993,0.99242,0.995,0.9583,0.33979,0.26735,1.63861,0.0008449,0.0008449,0.0008449
49,132.98,0.37439,0.31931,1.59682,1,0.99932,0.995,0.97049,0.31401,0.25336,1.60297,0.0008416,0.0008416,0.0008416
50,135.178,0.37891,0.31846,1.54623,1,0.99981,0.995,0.97008,0.33319,0.25928,1.49673,0.0008383,0.0008383,0.0008383
51,137.3,0.38373,0.32304,1.59653,0.99169,1,0.995,0.97245,0.31637,0.26041,1.48666,0.000835,0.000835,0.000835
52,139.711,0.40436,0.33837,1.56299,0.99909,0.99242,0.995,0.9706,0.31591,0.25798,1.65083,0.0008317,0.0008317,0.0008317
53,141.902,0.41423,0.33304,1.57831,0.99966,0.99242,0.995,0.96356,0.34752,0.27436,1.64632,0.0008284,0.0008284,0.0008284
54,144.004,0.41835,0.33588,1.55641,1,0.99218,0.995,0.96801,0.31158,0.2572,1.5346,0.0008251,0.0008251,0.0008251
55,146.378,0.39194,0.31882,1.55826,0.99936,0.99242,0.995,0.96736,0.30888,0.25129,1.53521,0.0008218,0.0008218,0.0008218
56,148.684,0.3944,0.32516,1.54076,1,0.99895,0.995,0.96866,0.32591,0.25588,1.68839,0.0008185,0.0008185,0.0008185
57,150.985,0.39894,0.32773,1.4793,0.99967,1,0.995,0.97572,0.33295,0.25322,1.65406,0.0008152,0.0008152,0.0008152
58,153.355,0.3935,0.32189,1.55794,0.99955,1,0.995,0.97089,0.31352,0.24387,1.5068,0.0008119,0.0008119,0.0008119
59,155.821,0.37452,0.31292,1.55246,0.99963,1,0.995,0.96846,0.32803,0.25342,1.49564,0.0008086,0.0008086,0.0008086
60,158.247,0.40996,0.32485,1.59395,1,0.99948,0.995,0.97514,0.31553,0.24487,1.58436,0.0008053,0.0008053,0.0008053
61,160.628,0.40995,0.33237,1.58767,0.99745,1,0.995,0.96608,0.3163,0.25207,1.54507,0.000802,0.000802,0.000802
62,163.026,0.40717,0.32502,1.55152,0.99939,1,0.995,0.97181,0.29655,0.2378,1.46706,0.0007987,0.0007987,0.0007987
63,165.24,0.42621,0.34052,1.61217,1,0.99974,0.995,0.97135,0.30725,0.23571,1.44514,0.0007954,0.0007954,0.0007954
64,167.315,0.38754,0.31415,1.5561,0.99949,1,0.995,0.96494,0.31933,0.25714,1.53492,0.0007921,0.0007921,0.0007921
65,169.679,0.38707,0.31726,1.5615,0.99212,1,0.99485,0.9668,0.31534,0.25773,1.69103,0.0007888,0.0007888,0.0007888
66,172.073,0.39613,0.3143,1.52432,0.99975,1,0.995,0.97135,0.31578,0.25416,1.59817,0.0007855,0.0007855,0.0007855
67,174.448,0.37095,0.31727,1.57813,0.99876,1,0.995,0.98035,0.29597,0.25021,1.58003,0.0007822,0.0007822,0.0007822
68,176.84,0.38612,0.31205,1.57271,0.99899,1,0.995,0.97529,0.31094,0.25865,1.57413,0.0007789,0.0007789,0.0007789
69,179.185,0.38968,0.31127,1.51357,0.99929,1,0.995,0.9745,0.31198,0.25898,1.50873,0.0007756,0.0007756,0.0007756
70,181.283,0.38905,0.30975,1.53109,0.99943,1,0.995,0.98135,0.29276,0.23501,1.5104,0.0007723,0.0007723,0.0007723
71,183.543,0.38808,0.3079,1.51921,0.99965,1,0.995,0.97911,0.2943,0.23979,1.53952,0.000769,0.000769,0.000769
72,185.884,0.41062,0.32327,1.62372,0.9995,1,0.995,0.9733,0.30373,0.24935,1.57297,0.0007657,0.0007657,0.0007657
73,188.182,0.38648,0.31065,1.52368,0.99941,1,0.995,0.97245,0.3033,0.23993,1.5112,0.0007624,0.0007624,0.0007624
74,190.337,0.40079,0.32253,1.53753,0.99877,1,0.995,0.97588,0.29132,0.2356,1.55496,0.0007591,0.0007591,0.0007591
75,192.497,0.38688,0.31375,1.50789,0.99953,1,0.995,0.97285,0.3181,0.25047,1.67127,0.0007558,0.0007558,0.0007558
76,194.775,0.39057,0.31032,1.47112,0.9993,1,0.995,0.97639,0.30235,0.23725,1.58211,0.0007525,0.0007525,0.0007525
