epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,116.84,0.74379,0.62569,0.93841,0.86669,0.92884,0.91582,0.71838,0.82386,0.6697,0.96289,0.0008647,0.0008647,0.0008647
43,119.108,0.71107,0.62227,0.91691,0.8935,0.84127,0.91304,0.7197,0.81895,0.64912,0.99261,0.0008614,0.0008614,0.0008614
44,121.432,0.7205,0.62251,0.92767,0.89762,0.85714,0.93408,0.74376,0.82473,0.60463,0.99971,0.0008581,0.0008581,0.0008581
45,123.954,0.70183,0.58127,0.93072,0.89565,0.96825,0.95354,0.76925,0.80269,0.57701,0.96906,0.0008548,0.0008548,0.0008548
46,126.453,0.71307,0.57381,0.94749,0.94998,0.90431,0.95876,0.76819,0.81791,0.56735,0.97857,0.0008515,0.0008515,0.0008515
47,128.846,0.70258,0.59486,0.91873,0.93722,0.90476,0.96117,0.76474,0.8483,0.57715,1.02629,0.0008482,0.0008482,0.0008482
48,131.495,0.71699,0.61777,0.92867,0.92066,0.96825,0.97366,0.76257,0.80839,0.55521,0.99222,0.0008449,0.0008449,0.0008449
49,134.161,0.70612,0.61746,0.92598,0.89768,0.90476,0.93221,0.71932,0.84543,0.6457,1.02087,0.0008416,0.0008416,0.0008416
50,136.827,0.74941,0.60318,0.9573,0.94525,0.82225,0.9279,0.70002,0.86279,0.70812,1.03629,0.0008383,0.0008383,0.0008383
51,139.42,0.68162,0.5814,0.9269,0.93679,0.93651,0.96049,0.7508,0.81711,0.56918,1.00535,0.000835,0.000835,0.000835
52,141.679,0.70965,0.55218,0.92307,0.95066,0.91747,0.98285,0.75622,0.84557,0.55366,1.01173,0.0008317,0.0008317,0.0008317
53,144.154,0.73929,0.60255,0.94303,0.99375,0.88889,0.97054,0.74146,0.85685,0.57492,1.01864,0.0008284,0.0008284,0.0008284
54,146.401,0.69214,0.57458,0.91228,0.92512,0.85714,0.94317,0.73889,0.83778,0.64422,0.98378,0.0008251,0.0008251,0.0008251
55,148.86,0.69847,0.54786,0.91447,0.93286,0.88889,0.964,0.76814,0.77117,0.5596,0.97273,0.0008218,0.0008218,0.0008218
56,151.353,0.7037,0.57434,0.92511,0.93204,0.92063,0.95639,0.75758,0.79742,0.56535,0.99567,0.0008185,0.0008185,0.0008185
57,153.809,0.7423,0.59604,0.95191,0.86665,0.92848,0.94071,0.74553,0.82557,0.58932,1.00696,0.0008152,0.0008152,0.0008152
58,156.238,0.66269,0.54922,0.90139,0.83994,0.9163,0.93431,0.73657,0.84216,0.62019,0.99604,0.0008119,0.0008119,0.0008119
59,158.642,0.69815,0.53567,0.89694,0.95158,0.9358,0.96023,0.75249,0.80048,0.57661,0.95927,0.0008086,0.0008086,0.0008086
60,161.041,0.68986,0.53668,0.93002,0.95278,0.90476,0.95642,0.78242,0.77371,0.56799,0.93878,0.0008053,0.0008053,0.0008053
61,163.457,0.68558,0.54737,0.9288,0.96604,0.90476,0.9591,0.77772,0.7599,0.55001,0.9461,0.000802,0.000802,0.000802
62,165.777,0.70357,0.51781,0.93629,0.97869,0.90476,0.96015,0.78656,0.75014,0.51077,0.94081,0.0007987,0.0007987,0.0007987
63,168.012,0.6923,0.55158,0.9218,0.93186,0.93651,0.95985,0.77003,0.82075,0.50451,0.95891,0.0007954,0.0007954,0.0007954
64,170.54,0.7259,0.53688,0.92691,0.8992,0.93651,0.95644,0.76944,0.81564,0.52455,0.95415,0.0007921,0.0007921,0.0007921
65,172.868,0.6816,0.57029,0.92688,0.90754,0.93482,0.95099,0.77354,0.80235,0.52428,0.94926,0.0007888,0.0007888,0.0007888
66,175.236,0.72632,0.53552,0.92151,0.92618,0.92063,0.93226,0.7512,0.7791,0.52717,0.94969,0.0007855,0.0007855,0.0007855
67,177.425,0.70489,0.5492,0.91939,0.96512,0.93651,0.96303,0.76717,0.83691,0.55882,0.97319,0.0007822,0.0007822,0.0007822
68,179.676,0.66028,0.49321,0.90036,0.96403,0.95238,0.96645,0.76818,0.81238,0.53692,0.95958,0.0007789,0.0007789,0.0007789
69,181.858,0.68004,0.51114,0.89746,0.96604,0.90316,0.95864,0.78664,0.77057,0.52563,0.95077,0.0007756,0.0007756,0.0007756
70,184.037,0.65039,0.49226,0.89791,0.96461,0.88889,0.95893,0.79137,0.79464,0.51,0.98195,0.0007723,0.0007723,0.0007723
71,186.242,0.68471,0.49923,0.92244,0.89585,0.95575,0.95958,0.79128,0.83135,0.51642,0.98232,0.000769,0.000769,0.000769
72,188.667,0.66468,0.49978,0.90788,0.93558,0.92214,0.96105,0.79509,0.76714,0.48519,0.94135,0.0007657,0.0007657,0.0007657
73,190.935,0.63291,0.48081,0.88826,0.87884,0.93651,0.94439,0.76167,0.7895,0.5385,0.94731,0.0007624,0.0007624,0.0007624
74,193.095,0.66669,0.49184,0.90085,0.89344,0.90476,0.94734,0.75878,0.81304,0.55041,0.95798,0.0007591,0.0007591,0.0007591
75,195.276,0.65173,0.48487,0.90725,0.95158,0.93581,0.96064,0.78098,0.78194,0.48797,0.9467,0.0007558,0.0007558,0.0007558
76,197.404,0.64916,0.49239,0.9036,0.95184,0.95238,0.95814,0.7722,0.78345,0.49705,0.96137,0.0007525,0.0007525,0.0007525
77,199.568,0.66316,0.47268,0.89847,0.98066,0.95238,0.95937,0.78862,0.75309,0.47833,0.95332,0.0007492,0.0007492,0.0007492
78,201.905,0.63717,0.49472,0.90816,0.97866,0.93651,0.96237,0.79376,0.74113,0.48206,0.93596,0.0007459,0.0007459,0.0007459
79,204.479,0.61932,0.47814,0.88708,0.9523,0.95071,0.96507,0.79178,0.76285,0.46803,0.94344,0.0007426,0.0007426,0.0007426
80,206.853,0.61777,0.5007,0.89459,0.96342,0.93651,0.96163,0.7973,0.76396,0.48463,0.94365,0.0007393,0.0007393,0.0007393
81,209.081,0.66125,0.508,0.90666,0.93835,0.96638,0.96287,0.77678,0.76257,0.50326,0.944,0.000736,0.000736,0.000736
82,211.062,0.62617,0.48476,0.8966,0.95227,0.95015,0.96185,0.78062,0.76921,0.52079,0.94903,0.0007327,0.0007327,0.0007327
83,213.298,0.6945,0.54148,0.94749,0.93837,0.96679,0.95975,0.7788,0.77788,0.50433,0.93963,0.0007294,0.0007294,0.0007294
84,215.824,0.65362,0.47916,0.91286,0.96822,0.9671,0.96594,0.7838,0.79374,0.47974,0.94156,0.0007261,0.0007261,0.0007261
85,217.954,0.64509,0.46892,0.90944,0.96758,0.96825,0.96508,0.78784,0.7958,0.47212,0.94508,0.0007228,0.0007228,0.0007228
86,220.122,0.62221,0.45743,0.88117,0.95038,0.96825,0.95538,0.78535,0.74847,0.48151,0.93661,0.0007195,0.0007195,0.0007195
87,222.513,0.6541,0.51728,0.9053,0.94831,0.93651,0.94131,0.75394,0.80891,0.51272,0.9821,0.0007162,0.0007162,0.0007162
88,224.949,0.64355,0.46762,0.89637,0.95297,0.96488,0.96001,0.76364,0.82272,0.50492,0.99048,0.0007129,0.0007129,0.0007129
89,227.489,0.63786,0.48225,0.87207,0.95996,0.96825,0.9648,0.78089,0.78979,0.47121,0.97264,0.0007096,0.0007096,0.0007096
90,229.959,0.61186,0.48724,0.87347,0.97989,0.95238,0.96586,0.78017,0.79061,0.4607,0.96934,0.0007063,0.0007063,0.0007063
91,232.43,0.65228,0.48286,0.90442,0.99311,0.93651,0.96649,0.76631,0.81367,0.47276,0.99796,0.000703,0.000703,0.000703
92,234.868,0.65197,0.48982,0.89866,0.95054,0.95238,0.96534,0.7695,0.80058,0.48376,0.98841,0.0006997,0.0006997,0.0006997
93,237.325,0.63724,0.48849,0.89706,0.96654,0.91695,0.96262,0.78256,0.77267,0.49551,0.95551,0.0006964,0.0006964,0.0006964
94,239.837,0.61425,0.45452,0.90071,0.95947,0.93651,0.96355,0.76864,0.79289,0.49501,0.97202,0.0006931,0.0006931,0.0006931
95,242.406,0.63641,0.48021,0.88999,0.95068,0.95238,0.96449,0.77207,0.76733,0.49227,0.9755,0.0006898,0.0006898,0.0006898
96,244.756,0.64871,0.48016,0.89264,0.9328,0.95238,0.96591,0.78062,0.77666,0.47751,0.96667,0.0006865,0.0006865,0.0006865
97,247.164,0.63537,0.47628,0.90017,0.96595,0.90061,0.96416,0.76941,0.83609,0.51204,1.00912,0.0006832,0.0006832,0.0006832
98,249.449,0.63443,0.45281,0.88531,0.99079,0.90476,0.97423,0.77392,0.80884,0.50292,0.99484,0.0006799,0.0006799,0.0006799
99,251.735,0.63529,0.4575,0.90027,0.92291,0.95023,0.96152,0.79363,0.78089,0.47967,0.98938,0.0006766,0.0006766,0.0006766
100,254.388,0.62016,0.46416,0.88374,0.92012,0.93651,0.95831,0.78593,0.80203,0.48528,0.99912,0.0006733,0.0006733,0.0006733
101,256.986,0.64457,0.46594,0.90569,0.90769,0.93647,0.95759,0.77336,0.79307,0.49777,0.99875,0.00067,0.00067,0.00067
102,259.053,0.61417,0.45757,0.89447,0.93725,0.94831,0.95964,0.77074,0.7749,0.47727,0.97194,0.0006667,0.0006667,0.0006667
103,261.361,0.60584,0.45004,0.89392,0.96656,0.91758,0.96621,0.77178,0.79474,0.48579,0.97783,0.0006634,0.0006634,0.0006634
104,263.567,0.61142,0.45663,0.9058,0.92115,0.92063,0.96298,0.76144,0.79749,0.47051,0.97642,0.0006601,0.0006601,0.0006601
105,265.921,0.62245,0.4495,0.89454,0.96536,0.90476,0.95601,0.76114,0.80179,0.48184,1.00386,0.0006568,0.0006568,0.0006568
106,268.638,0.61508,0.47415,0.88146,0.9596,0.90476,0.93735,0.75062,0.79787,0.47985,1.00012,0.0006535,0.0006535,0.0006535
107,271.381,0.64087,0.45989,0.89084,0.95742,0.93651,0.95065,0.75294,0.80594,0.4815,0.98795,0.0006502,0.0006502,0.0006502
108,274.097,0.61397,0.45538,0.8736,0.93576,0.92486,0.94467,0.75546,0.78905,0.49939,0.98073,0.0006469,0.0006469,0.0006469
109,276.637,0.64434,0.44795,0.91208,0.95007,0.90605,0.94758,0.77568,0.76431,0.48454,0.96503,0.0006436,0.0006436,0.0006436
110,278.666,0.63691,0.46042,0.90205,0.87947,0.93651,0.96366,0.77517,0.77357,0.50185,0.97612,0.0006403,0.0006403,0.0006403
111,281.072,0.5954,0.43665,0.87219,0.88233,0.95214,0.95671,0.78146,0.78245,0.50766,0.99949,0.000637,0.000637,0.000637
112,283.661,0.61742,0.43077,0.8853,0.91994,0.93651,0.95332,0.7808,0.74829,0.48554,0.98686,0.0006337,0.0006337,0.0006337
113,286.109,0.6003,0.43092,0.88842,0.91708,0.96825,0.96054,0.77346,0.77712,0.48191,0.99074,0.0006304,0.0006304,0.0006304
